iter	MultiClass
0	5.206237156
1	5.050498912
2	4.925038613
3	4.816008713
4	4.712913213
5	4.603966226
6	4.534830617
7	4.476498256
8	4.391096936
9	4.323123829
10	4.271754074
11	4.217170745
12	4.173609294
13	4.138670687
14	4.095390003
15	4.044326599
16	4.004115873
17	3.96710156
18	3.925641112
19	3.895495664
20	3.845592459
21	3.818979014
22	3.784270719
23	3.741202684
24	3.716919999
25	3.683863216
26	3.649954277
27	3.622968769
28	3.603645826
29	3.574223863
30	3.55612685
31	3.528347682
32	3.498353239
33	3.472815672
34	3.430028029
35	3.387989014
36	3.357023145
37	3.324288461
38	3.299286748
39	3.267977762
40	3.246401872
41	3.215650883
42	3.196836752
43	3.18048742
44	3.150451453
45	3.127364619
46	3.103830422
47	3.081052695
48	3.053849169
49	3.041273946
50	3.01098941
51	2.990437738
52	2.963982065
53	2.94660303
54	2.920194967
55	2.895671079
56	2.875070628
57	2.85617764
58	2.839672079
59	2.819642384
60	2.798454942
61	2.783016023
62	2.760926717
63	2.747321281
64	2.733251238
65	2.709010509
66	2.688800376
67	2.665195256
68	2.646643146
69	2.623275491
70	2.599469248
71	2.592137603
72	2.57769292
73	2.555924172
74	2.542580156
75	2.524351779
76	2.513336074
77	2.504234237
78	2.489363043
79	2.473642518
80	2.463292774
81	2.452517121
82	2.436294039
83	2.419512322
84	2.399804377
85	2.389665347
86	2.374549973
87	2.36384968
88	2.349223042
89	2.340692857
90	2.328978896
91	2.312128681
92	2.301941292
93	2.286594218
94	2.270555995
95	2.256908048
96	2.245682644
97	2.23083759
98	2.22268971
99	2.208789749
