iter	Passed	Remaining
0	1483	146836
1	2959	145023
2	4201	135848
3	5273	126562
4	6986	132752
5	8098	126879
6	9564	127071
7	10367	119228
8	12285	124222
9	13742	123684
10	14529	117557
11	15125	110921
12	16534	110652
13	17429	107067
14	18036	102204
15	18824	98830
16	19413	94784
17	20039	91289
18	21095	89934
19	22654	90617
20	24015	90343
21	25199	89342
22	27121	90799
23	28462	90132
24	29689	89069
25	31027	88310
26	31809	86002
27	32563	83734
28	33722	82561
29	35089	81874
30	36238	80659
31	37678	80065
32	38766	78707
33	39723	77110
34	40774	75723
35	41738	74201
36	42729	72755
37	44014	71812
38	44953	70311
39	45699	68549
40	46947	67559
41	47769	65968
42	48562	64373
43	49123	62521
44	49886	60972
45	50451	59225
46	50983	57491
47	51526	55820
48	52094	54220
49	53284	53284
50	54398	52265
51	55995	51688
52	56868	50430
53	57424	48916
54	58048	47494
55	58615	46055
56	59581	44947
57	60164	43567
58	60709	42187
59	61235	40823
60	61780	39498
61	62348	38213
62	62958	36975
63	64244	36137
64	65419	35226
65	66906	34466
66	67997	33491
67	69048	32493
68	69808	31363
69	71322	30566
70	72237	29505
71	72821	28319
72	73437	27161
73	74431	26151
74	76058	25352
75	77254	24396
76	78136	23339
77	78732	22206
78	79323	21085
79	79923	19980
80	80481	18878
81	81039	17789
82	81679	16729
83	82831	15777
84	83885	14803
85	84697	13787
86	85443	12767
87	86973	11860
88	87957	10871
89	88959	9884
90	89942	8895
91	90968	7910
92	92046	6928
93	93519	5969
94	94958	4997
95	96970	4040
96	98040	3032
97	99482	2030
98	100513	1015
99	101543	0
