TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e000004,E03,e000004,3,2023-04-30,2023-05-01,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,3,3;4;11
e_e000006,E03,e000006,21,2023-04-30,2023-05-02,,경기 방문/거주지 구분 없음/39세 이하/특별미션,21,21;10;27
e_e000009,E03,e000009,2;4,2023-04-29,2023-05-01,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;4,22;1;7
e_e000010,E01,e000010,3;6,2023-04-29,2023-05-01,,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,3;6,6;3;1
e_e000011,E01,e000011,1;21,2023-04-28,2023-05-01,,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,1;21,6;2;24
e_e000013,E03,e000013,1;22;24;6,2023-04-28,2023-04-30,,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션,1;22;24;6,1;8;6
e_e000014,E03,e000014,2,2023-05-01,2023-05-02,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2,2;1;22
e_e000015,E01,e000015,7,2023-04-28,2023-05-02,,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,7,7;6;4
e_e000016,E03,e000016,1;22;4,2023-04-29,2023-04-30,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;22;4,1;4;22
e_e000018,E03,e000018,2;11,2023-04-29,2023-04-30,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;11,2;5;11
e_e000020,E03,e000020,28;21,2023-04-29,2023-05-01,,경기 방문/거주지 구분 없음/40세 이상/특별미션,28;21,21;2;5
e_e000021,E03,e000021,24,2023-04-29,2023-05-01,,경기 방문/거주지 구분 없음/40세 이상/특별미션,24,24;6;21
e_e000022,E03,e000022,22;25,2023-04-29,2023-04-30,,경기 방문/거주지 구분 없음/40세 이상/특별미션,22;25,2;3;24
e_e000023,E01,e000023,4,2023-04-29,2023-04-30,,서울 방문/수도권 거주/40세 이상/커플/일반미션,4,4;3;11
e_e000025,E03,e000025,22,2023-04-30,2023-05-01,,경기 방문/거주지 구분 없음/40세 이상/특별미션,22,22;4;26
e_e000030,E03,e000030,21,2023-04-29,2023-04-30,,경기 방문/거주지 구분 없음/40세 이상/특별미션,21,21;7;28
e_e000037,E03,e000037,22,2023-04-30,2023-05-01,,경기 방문/거주지 구분 없음/39세 이하/특별미션,22,22;6;21
e_e000038,E03,e000038,21;22;23,2023-04-28,2023-04-30,,경기 방문/거주지 구분 없음/39세 이하/특별미션,21;22;23,21;23;10
e_e000039,E03,e000039,2,2023-04-29,2023-04-30,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2,2;22;24
e_e000040,E01,e000040,3;4,2023-04-28,2023-04-30,,서울 방문/수도권 거주/39세 이하/커플/일반미션,3;4,4;3;7
e_e000041,E03,e000041,4;7,2023-04-28,2023-05-01,,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,4;7,3;4;24
e_e000042,E02,e000042,12;24;5,2023-05-01,2023-05-02,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,12;24;5,5;12;24
e_e000045,E03,e000045,25,2023-04-29,2023-05-01,,경기 방문/거주지 구분 없음/39세 이하/특별미션,25,8;25;21
e_e000046,E03,e000046,5,2023-04-28,2023-04-29,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5,5;10;21
e_e000293,E01,e000293,1;22;4;6,2023-05-28,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,1;22;4;6,6;1;4
e_e000294,E03,e000294,1;2;23;26,2023-05-19,2023-05-22,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,1;2;23;26,2;23;22
e_e000296,E01,e000296,9;11;21;26;1;22;23,2023-05-23,2023-05-26,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,9;11;21;26;1;22;23,9;22;21
e_e000299,E01,e000299,3;6,2023-05-27,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션,3;6,3;6;11
e_e000301,E01,e000301,22;23;26;4,2023-05-19,2023-05-21,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,22;23;26;4,22;23;26
e_e000302,E01,e000302,2;21;22;26,2023-05-19,2023-05-22,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2;21;22;26,2;22;26
e_e000307,E03,e000307,3,2023-05-21,2023-05-22,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,3,3;22;6
e_e000311,E02,e000311,2;22;26;5,2023-05-27,2023-05-28,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;22;26;5,2;22;26
e_e000317,E01,e000317,1;12;4;5;7,2023-05-27,2023-05-30,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;12;4;5;7,4;24;1
e_e000319,E03,e000319,1;12;24;5;6,2023-05-31,2023-06-03,대중교통 등,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,1;12;24;5;6,4;1;24
e_e000322,E03,e000322,1;24;3;5;6,2023-06-05,2023-06-08,대중교통 등,경기 방문/거주지 구분 없음/40세 이상/특별미션,1;24;3;5;6,24;22;1
e_e000323,E03,e000323,22;26;1;2;4,2023-05-27,2023-05-29,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,22;26;1;2;4,3;22;26
e_e000329,E03,e000329,1;12;7;9,2023-05-26,2023-05-29,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;12;7;9,7;1;12
e_e000331,E01,e000331,1;2,2023-05-28,2023-05-31,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,1;2,2;22;1
e_e000332,E01,e000332,1;2;5;7;9,2023-05-19,2023-05-21,자가용,서울 방문/수도권 거주/39세 이하/커플/일반미션,1;2;5;7;9,26;24;7
e_e000334,E03,e000334,1;22;26;6;9,2023-05-28,2023-05-30,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;22;26;6;9,22;12;1
e_e000336,E01,e000336,3;11;23;26,2023-05-27,2023-05-30,자가용,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션,3;11;23;26,1;2;23
e_e000338,E01,e000338,21;22;24;26;6,2023-05-19,2023-05-20,대중교통 등,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,21;22;24;26;6,6;22;26
e_e000342,E02,e000342,1;21;22;24;4,2023-05-19,2023-05-22,대중교통 등,인천 방문/거주지 구분 없음/39세 이하/특별미션,1;21;22;24;4,4;21;22
e_e000344,E01,e000344,1;12;2;3;6,2023-05-19,2023-05-21,자가용,서울 방문/수도권 외 거주/39세 이하/자녀동반/일반미션,1;12;2;3;6,2;3;4
e_e000345,E01,e000345,22;6;9,2023-05-19,2023-05-21,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,22;6;9,6;22;9
