TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3
e004720,여,60,11,11500,47,47760,41,41390,2,4,4,4,4,4,5,5,경기도,서울,2023-07-16~2023-07-16,2,6.0,
e000914,여,20,45,45110,26,26230,11,11650,3,6,2,3,2,2,4,1,대전광역시,서울,2023-06-03~2023-06-03,1,7.0,10.0
e003564,여,30,42,42210,48,48840,41,41480,1,1,1,3,2,1,1,7,경기도,경기,2023-06-24~2023-06-24,8,3.0,7.0
e000396,여,30,50,50110,42,42150,44,44825,3,1,2,5,6,6,1,6,경기도,인천,2023-05-20~2023-05-21,9,1.0,7.0
e001890,남,20,42,42210,26,26320,50,50110,6,3,2,3,6,3,5,6,서울특별시,경기,2023-06-04~2023-06-04,3,1.0,5.0
e007797,남,30,26,26290,50,50110,50,50130,2,1,2,2,1,1,4,6,경기도,경기,2023-08-31~2023-08-31,1,8.0,7.0
e003039,여,30,41,41820,42,42830,42,42150,2,1,7,2,2,7,4,5,경기도,경기,2023-06-16~2023-06-17,2,,
e000782,남,50,42,42150,41,41450,11,11710,4,7,7,2,5,7,1,2,경기도,서울,2023-05-27~2023-05-27,5,3.0,1.0
e008478,여,20,46,46790,11,11110,50,50110,2,2,2,2,4,4,6,3,서울특별시,경기,2023-08-26~2023-08-26,10,7.0,3.0
e000655,남,50,11,11500,28,28245,50,50110,3,2,2,4,3,5,3,2,서울특별시,경기,2023-05-20~2023-05-22,2,6.0,10.0
e006837,여,60,50,50130,42,42210,26,26230,5,4,5,2,4,5,2,7,경기도,경기,2023-08-18~2023-08-18,1,5.0,
e008666,남,40,26,26350,11,11680,47,47770,1,1,6,2,6,6,6,5,대구광역시,서울,2023-08-24~2023-08-24,1,7.0,5.0
e002058,남,60,50,50110,26,26350,42,42150,1,7,1,1,1,7,7,7,경기도,경기,2023-06-02~2023-06-03,3,2.0,1.0
e010598,여,20,11,11110,42,42820,27,27110,3,2,2,2,2,6,6,7,대전광역시,서울,2023-08-24~2023-08-24,2,3.0,7.0
e007838,여,30,11,11170,11,11440,11,11110,7,6,7,7,7,6,2,6,대전광역시,서울,2023-08-28~2023-08-28,8,1.0,5.0
e007403,여,20,11,11140,11,11215,11,11350,6,6,4,3,4,5,2,6,경기도,서울,2023-08-20~2023-08-20,1,3.0,2.0
e007169,여,40,42,42830,47,47930,41,41830,2,2,1,6,6,5,4,6,경기도,서울,2023-08-16~2023-08-16,8,7.0,3.0
e001267,남,40,11,11110,50,50110,46,46130,4,3,2,3,2,5,2,6,경기도,경기,2023-06-03~2023-06-03,1,7.0,3.0
e005765,남,40,11,11110,11,11215,50,50110,4,2,3,2,3,5,4,2,경기도,서울,2023-07-27~2023-07-27,2,3.0,7.0
e001538,남,40,31,31110,26,26500,42,42170,2,1,1,4,1,1,1,7,경기도,경기,2023-06-03~2023-06-04,2,3.0,1.0
e000608,여,20,11,11440,26,26350,47,47110,4,2,4,4,5,4,6,6,경상북도,서울,2023-05-22~2023-05-23,7,4.0,2.0
e003810,여,30,50,50130,42,42150,47,47130,1,1,1,1,1,1,1,6,인천광역시,경기,2023-07-01~2023-07-01,2,3.0,5.0
e010900,남,20,41,41150,41,41820,26,26350,3,1,5,3,3,4,5,3,서울특별시,경기,2023-09-01~2023-09-01,1,3.0,7.0
e002491,남,20,50,50110,41,41830,42,42150,5,5,5,6,6,6,6,6,경기도,경기,2023-06-23~2023-06-24,2,3.0,1.0
e000556,남,30,50,50130,42,42150,26,26350,3,2,2,2,2,3,5,6,서울특별시,경기,2023-06-06~2023-06-06,1,3.0,7.0
e002389,여,60,42,42170,41,41280,41,41570,5,4,5,4,2,4,5,3,서울특별시,경기,2023-06-07~2023-06-07,6,3.0,1.0
e003334,남,30,42,42210,26,26350,42,42150,6,2,6,2,2,4,7,4,서울특별시,경기,2023-07-02~2023-07-02,7,1.0,
